formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId
1	C13H21N3O6	[M + H]+	C13H22N3O6+	Amino acids and Peptides	0.995	Small peptides	0.982	Tripeptides	0.983	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.995	Peptides	0.975	Oligopeptides	0.926	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	316.152	95	1.58	690677973446243780	690677236095971637	9002
1	C13H21N5O4	[M + H]+	C13H22N5O4+	Carbohydrates	0.926	Nucleosides	0.911	Purine nucleosides	0.859	Organic acids and derivatives	0.648	Carboxylic acids and derivatives	0.464	Amino acids, peptides, and analogues	0.580	Amino acids and derivatives	0.579	Alpha amino acids	0.560	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Alpha amino acids; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	312.166	99	1.65	690677972255061169	690677235483603213	9065
1	C14H18N2O5	[M + H]+	C14H19N2O5+	Amino acids and Peptides	0.995	Small peptides	0.999	Dipeptides	0.994	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Peptides	0.917	Gamma-glutamyl amino acids	0.985	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; N-acyl-alpha amino acids; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Gamma-glutamyl amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	295.129	100	1.66	690677970560561842	690677231171858546	9033
1	C17H27N3O3	[M + H]+	C17H28N3O3+	Alkaloids	0.664	Small peptides	0.468	Dipeptides	0.335	Organic acids and derivatives	0.968	Carboxylic acids and derivatives	0.946	Amino acids, peptides, and analogues	0.772	Amino acids and derivatives	0.768	Amino acids and derivatives	0.768	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Tertiary amines; Acetamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	322.213	102	1.70	690677973114893693	690677236930638193	9097
1	C12H26N4O4S	[M + H]+	C12H27N4O4S+	Amino acids and Peptides	0.889	Small peptides	0.906	Dipeptides	0.392	Organic acids and derivatives	0.864	Carboxylic acids and derivatives	0.798	Amino acids, peptides, and analogues	0.813	Amino acids and derivatives	0.805	Alpha amino acid amides	0.601	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; N-acyl amines; Thioethers; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Sulfenyl compounds; Organic 1,3-dipolar compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	323.174	103	1.72	690677972796126499	690677237261988234	9131
1	C13H18N4O4	[M + H]+	C13H19N4O4+	Amino acids and Peptides	0.986	Small peptides	0.979	Dipeptides	0.524	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.985	Amino acids, peptides, and analogues	0.961	Peptides	0.727	Peptides	0.727	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	295.141	103	1.72	690677973840508431	690677231247356023	9128
1	C12H23NO4	[M + H]+	C12H24NO4+	Fatty acids	0.999	Fatty esters	1.000	Fatty acyl carnitines	1.000	Lipids and lipid-like molecules	0.996	Fatty Acyls	0.997	Fatty acid esters	0.983	Acyl carnitines	0.987	Acyl carnitines	0.987	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Acyl carnitines; Carboxylic acid salts; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	246.170	105	1.75	690677970879329013	690677224351919877	9261
1	C21H36N4O6	[M + H]+	C21H37N4O6+	Amino acids and Peptides	0.974	Oligopeptides	0.757	Cyclic peptides	0.376	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.919	Peptides	0.663	Peptides	0.663	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	441.271	109	1.81	690677993616652671	690677258086708679	9357
1	C16H26N2O3	[M + H]+	C16H27N2O3+	Alkaloids	0.875	Ornithine alkaloids	0.215	Phenylethylamines	0.102	Benzenoids	0.990	Phenol ethers	0.530					Phenol ethers	0.530	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Secondary alcohols; 1,2-aminoalcohols; Dialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Primary amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	295.202	109	1.82	690677994572954324	690677231398350977	9382
1	C10H12N2O4	[M + H]+	C10H13N2O4+	Amino acids and Peptides	0.536	Small peptides	0.275	Aminoacids	0.187	Benzenoids	0.920	Benzene and substituted derivatives	0.619					Benzene and substituted derivatives	0.619	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	225.087	109	1.82	690677994229021303	690677221885669000	9380
1	C20H18N2O8	[M + H]+	C20H19N2O8+	Amino acids and Peptides	0.500	Coumarins	0.072	Simple coumarins	0.080	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.920	Amino acids and derivatives	0.917	N-acyl-alpha amino acids	0.618	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; N-acyl-alpha amino acids; Benzenoids; Organic oxides; Methoxybenzenes; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	415.114	111	1.84	690677994132552253	690677254722876646	9450
1	C20H30N2O8	[M + H]+	C20H31N2O8+	Amino acids and Peptides	0.825	Small peptides	0.141	Dipeptides	0.226	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.882	Amino acids and derivatives	0.878	N-acyl-alpha amino acids and derivatives	0.622	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	427.208	114	1.90	690677998268136856	690677256719365475	9564
1	C26H42N8O6	[M + Na]+	C26H42N8NaO6+	Amino acids and Peptides	0.975	Oligopeptides	0.996	Cyclic peptides	0.827	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.991	Peptides	0.777	Oligopeptides	0.567	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	585.314	115	1.92	690678010528088535	690677264873093066	9931
1	C14H18N6O3	[M + H]+	C14H19N6O3+	Amino acids and Peptides	0.778	Small peptides	0.919	Dipeptides	0.283	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.977	Amino acids, peptides, and analogues	0.951	Amino acids and derivatives	0.949	N-acyl-alpha amino acids and derivatives	0.602	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Benzoic acids and derivatives; Hippuric acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	319.152	115	1.92	690677996380699726	690677236611871064	9879
1	C16H19N3O6S	[M + H]+	C16H20N3O6S+	Amino acids and Peptides	1.000	Small peptides	0.981	Dipeptides	0.800	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Peptides	0.992	Oligopeptides	0.623	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Indoles and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Substituted pyrroles; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Indoles; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 3-alkylindoles; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Oligopeptides; Chemical entities	382.107	115	1.92	690678001564860279	690677244853678994	9897
1	C17H32N2O8S	[M + H]+	C17H33N2O8S+	Amino acids and Peptides	0.817	Aminosugars and aminoglycosides	0.216	Aminoglycosides	0.285	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.996	Peptides	0.566	Peptides	0.566	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Polyols; N-acyl-alpha amino acids; Alpha amino acids; Amines; Secondary amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	425.196	116	1.94	690678002491801660	690677256178300229	9841
1	C15H20N6O8	[M + H]+	C15H21N6O8+	Carbohydrates	0.998	Nucleosides	0.997	Purine nucleosides	0.995	Nucleosides, nucleotides, and analogues	0.975	Purine nucleosides	0.965					Purine nucleosides	0.965	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Azoles; Purine nucleosides; Monocarboxylic acids and derivatives; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.141	117	1.95	690678001912987574	690677254303446216	9379
1	C15H22N2O4	[M + H]+	C15H23N2O4+	Amino acids and Peptides	0.931	Small peptides	0.887	Dipeptides	0.909	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.989	Amino acids, peptides, and analogues	0.870	Amino acids and derivatives	0.867	Alpha amino acid amides	0.516	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	295.166	117	1.96	690677996082904085	690677231318659196	10044
1	C12H12N2O5	[M + H]+	C12H13N2O5+	Amino acids and Peptides	0.959	Small peptides	0.921	Dipeptides	0.471	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.983	Amino acids, peptides, and analogues	0.834	Amino acids and derivatives	0.828	N-acyl-alpha amino acids and derivatives	0.653	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Hippuric acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.082	118	1.97	690677998024867129	690677226738478978	10116
1	C15H31NO5	[M + H]+	C15H32NO5+	Amino acids and Peptides	0.301	Linear polyketides	0.686	Open-chain polyketides	0.450	Lipids and lipid-like molecules	0.852	Fatty Acyls	0.876	Fatty amides	0.682	N-acyl amines	0.563	N-acyl amines	0.563	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	306.228	120	1.99	690678001254481723	690677232748916940	10193
1	C16H22NO2	[M + H]+	C16H23NO2+	Alkaloids	0.830	Pseudoalkaloids (transamidation)	0.272	Pyrrolidine alkaloids	0.261	Organic acids and derivatives	0.882	Carboxylic acids and derivatives	0.863	Amino acids, peptides, and analogues	0.725	Amino acids and derivatives	0.725	Alpha amino acids and derivatives	0.529	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Amines; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.170	120	2.00	690678001963319268	690677226461654899	10199
1	C16H25N3O7	[M + H]+	C16H26N3O7+	Amino acids and Peptides	1.000	Small peptides	0.999	Tripeptides	0.915	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Peptides	0.997	Oligopeptides	0.971	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Heterocyclic fatty acids; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Proline and derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	372.177	120	2.00	690678002319835155	690677243368895278	10213
1	C15H22N4O4	[M + H]+	C15H23N4O4+	Amino acids and Peptides	0.956	Phenylpropanoids (C6-C3)	0.715	Dipeptides	0.523	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.956	Amino acids and derivatives	0.953	N-acyl-alpha amino acids	0.501	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Styrenes; Alpha amino acids and derivatives; Alkyl aryl ethers; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Phenol ethers; N-acyl-alpha amino acids; Benzenoids; Cinnamic acid amides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	323.173	121	2.02	690677998087781726	690677237194879365	10250
1	C13H18O2	[M + H]+	C13H19O2+	Terpenoids	0.928	Sesquiterpenoids	0.557	Irregular monoterpenoids	0.190	Lipids and lipid-like molecules	0.667	Prenol lipids	0.600					Prenol lipids	0.600	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	207.138	121	2.02	690677994677811987	690677220639960657	10194
1	C16H17NO7	[M + H]+	C16H18NO7+	Amino acids and Peptides	0.889	Amino acid glycosides	0.985	Cyanogenic glycosides	0.989	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.954	Glycosyl compounds	0.881	Cyanogenic glycosides	0.545	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyanogenic glycosides; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.108	121	2.02	690677999769697983	690677238931321336	10180
1	C25H35N3O7S	[M + H]+	C25H36N3O7S+	Amino acids and Peptides	0.548	Oligopeptides	0.581	Polyamines	0.660	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.973	Amino acids, peptides, and analogues	0.827	Amino acids and derivatives	0.815	Alpha amino acids and derivatives	0.541	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Sulfonyls; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	522.228	122	2.03	690678011593441824	690677263379920727	10276
1	C14H25NO3	[M + H]+	C14H26NO3+	Alkaloids	0.926	Lysine alkaloids	0.445	Pyrrolidine alkaloids	0.446	Lipids and lipid-like molecules	0.544							Lipids and lipid-like molecules	0.544	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	256.191	122	2.04	690678010259652999	690677225249500988	10320
1	C10H26N4O2	[M + Na]+	C10H26N4NaO2+	Fatty acids	0.679	Fatty acyls	0.452	Fatty alcohols	0.544	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.993	Amines	0.508			Amines	0.508	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	257.195	122	2.04	690678009383043381	690677225656348491	10280
